Canonical,Team,Numbers,Variations
Alonzo Rosario,Cardiff Met Archers Senior Men I,4/5/6/7/8/9,Alonzo Rosario
Shayne Scruggs,Cardiff Met Archers Senior Men I,9,Shane Scruggs; Shayne Scruggs
Daniel Kookoogravas,Cardiff Met Archers Senior Men I,22,Daniel Kookoogravas
Nyakeh Senessie,CoLA Southwark Pride Senior Men,10/11/4,Nyakeh Senessie
Sharmake Shirwac,CoLA Southwark Pride Senior Men,10/13/7,Sharmake Shirwac
Andrew Nwokolo,CoLA Southwark Pride Senior Men,15,Andrew Nwokolo
Reiss Barker,London Elite Senior Men I,1,Reiss Barker
Jaguar Jackson,London Elite Senior Men I,3/4/6,J Jackson; Jaguar Jackson
Anthony Ozobuekwe,London Elite Senior Men I,37/8,Anthony Ozobuekwe
Christopher Pintoy,Oxford Hoops Senior Men,12/4,Christopher Pintoy
Joseph White,Oxford Hoops Senior Men,8,Joseph White
Ben Issac,Oxford Hoops Senior Men,9,Ben Issac
Chester Morrell,St Helens Saints Senior Men,13,Chester Morrell
Divineblessing Obamakinwa,Liverpool Senior Men,15,Divineblessing Obamakinwa
Lewis Darby-Edwards,Liverpool Senior Men,21,Lewis Darby-Edwards
Harrison Wildie,Sheffield Sharks Senior Men,7,Harrison Wildie
Damian Ogodan,Birmingham City University Senior Men,12/7,D Ogodan; Damian Ogodan
Emmanuel Akubuo,Myerscough Basketball Academy Senior Men I,7/8,Emanuel Akubuo; Emmanuel Akubuo
Cherno Camara,Sheffield Arrows Senior Men,12,Cherno Camara
C. Smitte,Teesside Lions Senior Men,22,C Smitte
h. omitowotjo,Teesside Lions Senior Men,27,H Omitowotjo
a. Maszer,Teesside Lions Senior Men,20,A Maszer
Khafid Smith,Richmond Knights Senior Men,1/10,K Smith; Khafid Smith
Jordan Murray-White,Richmond Knights Senior Men,3,Jordan Murray-White; J Murray-White
Muyiwa Obamakin,Richmond Knights Senior Men,5/7,Muyima Obamakin; Muyiwa Obamakin; M Obamakin
Ed Buckle,Richmond Knights Senior Men,22/44/7/8,Ed Buckle
Callum Vines,Richmond Knights Senior Men,9,C Vines; Callum Vines
Tai Badmus,Richmond Knights Senior Men,10,Tai Badmus
Jayden Carvalho,Richmond Knights Senior Men,13/2/22/44,Jayden Carvalho; Jaydon Carvalho; J Carvalho
Jamal Tahraoui,Richmond Knights Senior Men,16/44/85,Jamal Tahraoui
Ishmael Stephens,Richmond Knights Senior Men,22/33/44,Ishmael Stephens
Chukwuma Duru,Barnet Bulldogs Senior Men,0,Chuck Duru; Chukwuma Duru
Dreyshun Brown,Barnet Bulldogs Senior Men,1,Dreyshun Brown; Drey Brown
Sable Cooper,Barnet Bulldogs Senior Men,6,Sable Cooper
Ify Chuks,London Lions Senior Men II,0,Ify Chuks
Axel Thibault,London Lions Senior Men II,1/2/21/24/5,Axel Thibault
Eto Griffith,London Lions Senior Men II,0/3,Eto Griffith
Daniel Emenogu,London Lions Senior Men II,10/5,Daniel Emenogu
Cyrus Smith,London Lions Senior Men II,14/21,Cyrus Smith
Samuel Pleszak,London Stars Senior Men,5,Sam Pleszak; Samuel Pleszak
Osarumwense Fortune Iguma,Manchester Magic Senior Men I,10/12/5/9,Osarumwense Fortune Iguma
Aaron Bile,Manchester Magic Senior Men I,7,Aaron Bile
Tyme Regent-Bascombe,Manchester Magic Senior Men I,11/12/14/16,Tyme Regent-Bascombe
Malik Alechicus Legania,Leicester Warriors Senior Men,5,Malik Legania; Malik Alechicus Legania
Josh Tudor,Cardiff Met Archers Senior Men I,11,Josh Tudor
Hector Omitowoju,Teesside Lions Senior Men,27,H Omitowoju; Hector Omitowoju
Chadrak Holondo,Sheffield Sharks Senior Men,13,Chadrak Holondo
Daniel Tejada Garcia,Manchester Magic Senior Men I,9,Daniel Tejada Garcia
Ashton Scott,Myerscough Basketball Academy Senior Men I,6,Ashton Scott
Freddie Heath,London Lions Senior Men II,13/14/21,Freddie Heath
Charlie Ollis,Cobham Cobras Senior Men,19/98,Charlie Ollis
H. Edwards-Meade,London Lions Senior Men II,2,H Edwards-Meade
Z. Mwaniki,London Lions Senior Men II,11,Z Mwaniki
Rickyle Anderson,Sheffield Arrows Senior Men,12/14/25,Rickyle Anderson
Cameron Reid,Richmond Knights Senior Men,10/11/7,Cameron Reid
Kai Hypolite-Sealy,Richmond Knights Senior Men,14,Kai Hypolite-Sealy
Tyler Johnson,London Stars Senior Men,83,Tyler Johnson
Emmanuel Yeboah,Worcester Wolves Senior Men,1/10/9,Emmanuel Yeboah
Sayomi Laditan-Adebigi,Myerscough Basketball Academy Senior Men I,10,Sayomi Laditan-Adebigi
Solomi Laditan-Adebigi,Myerscough Basketball Academy Senior Men I,15,Solomi Laditan-Adebigi
Benjamin Isaac,Oxford Hoops Senior Men,1/9,Benjamin Isaac
Joseph Irving,Liverpool Senior Men,15,Joseph Irving
U. Unekwe,Greenwich Titans Senior Men,14,U Unekwe
J. Parma,Greenwich Titans Senior Men,1,J Parma
Nasir Cassel,London Stars Senior Men,53/6/83,Nasir Cassel
Robert Mccowan,Barnet Bulldogs Senior Men,22,Robert Mccowan; R Mccowan
Kelvin Akinmoyo,Barnet Bulldogs Senior Men,28,Kelvin Akinmoyo
Ruben Cyer,CoLA Southwark Pride Senior Men,4,Ruben Cyer
Dante Patel,CoLA Southwark Pride Senior Men,12/4/5,D Patel; Dante Patel
Uwais Busair,London Lions Senior Men II,3,Uwais Busair
Haydin Edwards-Meade,London Lions Senior Men II,7,Haydin Edwards-Meade
s. drysdale,Birmingham City University Senior Men,7,S Drysdale
r. faure,Birmingham City University Senior Men,11,R Faure
d. ogodan,Birmingham City University Senior Men,9,D Ogodan
m. mafezzoli,Teesside Lions Senior Men,14,M Mafezzoli
Peter Onubogu,Richmond Knights Senior Men,0,Peter Onubogu
Jordan Murray White,Richmond Knights Senior Men,3,Jordan Murray White
Hamza Camara,St Helens Saints Senior Men,11/13/4/6/8/9,Hamza Camara
Ludlow Hewson,Leicester Warriors Senior Men,6,Ludlow Hewson
Leome Francis,Barnet Bulldogs Senior Men,32,Leome Francis
Vivaldo Ferreira,Birmingham City University Senior Men,10/14/8,Vivaldo Ferreira
Abdul Oladipupo,Cobham Cobras Senior Men,11/12,Abdul Oladipupo
Joshua Osei,Cobham Cobras Senior Men,41/42,Joshua Osei
Alexander Zakay,Cobham Cobras Senior Men,1/11/50/8/97,Alexander Zakay
Mark Rangeley,Myerscough Basketball Academy Senior Men I,12,Mark Rangeley
Fuadi Banire,Sheffield Arrows Senior Men,12/13,Fuadi Banire
Zavier Patterson,Oxford Hoops Senior Men,20/4/91,Zavier Patterson
Micah Edwards Meade,London Lions Senior Men II,2,Micah Edwards Meade
Uwais Busairi,London Lions Senior Men II,10/3,Uwais Busairi; U Busairi
Haydin Edwards Meade,London Lions Senior Men II,0/5,Haydin Edwards Meade
Tejan Mbye,London Lions Senior Men II,10/11/5,Tejan Mbye
Joshua Maccarthy,Richmond Knights Senior Men,13/17/19/22/5,Joshua Maccarthy
Alex Martinez De Morentin,CoLA Southwark Pride Senior Men,7/9,Alex Martinez De Morentin; Alex Morentin
Rafael Tesfay,CoLA Southwark Pride Senior Men,12/4/7/8,Rafael Tesfay
Pharrell Mcintosh,Worcester Wolves Senior Men,15/4,Pharrell Mcintosh
Anton Harris-Gilbert,Teesside Lions Senior Men,3/42,Anton Harris-Gilbert
Marcello Maffezzoli,Teesside Lions Senior Men,14,Marcello Maffezzoli
Roman Radchenko,Teesside Lions Senior Men,16,R Radchenko; Roman Radchenko
Charlie Smythe,Teesside Lions Senior Men,22/7,Charlie Smythe; C Smythe
Kimbe N'gabala,Barking Abbey Senior Men I,8,Kimbe Ngabala; Kimbe N'gabala
Munyaradzi Nyamutenha,Barking Abbey Senior Men I,11/4/7,Munyaradzi Nyamutenha
Oskaras Visockas,Barking Abbey Senior Men I,14/25/27/30/32/9,Oskaras Visockas
Taofiq Olaseinde,London Elite Senior Men I,0/10/50/52/7,Taofiq Olaseinde
Joshua Palmer,Greenwich Titans Senior Men,1/13/2/7/8,Joshua Palmer
Rawle Allicock,Greenwich Titans Senior Men,12,Rawle Allicock
Uche Umekwe,Greenwich Titans Senior Men,14/15/22,Uche Umekwe
Jaaron Mcpherson,CoLA Southwark Pride Senior Men,10/12,Jaaron Mcpherson
Thorian Wulff,London Stars Senior Men,0/88,Thorian Wulff
Gabe Lazarre,Richmond Knights Senior Men,1,Gabe Lazarre
Shujaa Barnaby,Birmingham City University Senior Men,2/4/5/7/8,Shujaa Barnaby
Milan Stanisavljevic,Cobham Cobras Senior Men,1,Milan Stanisavljevic
Pharroh Gordon,Manchester Magic Senior Men I,10,Pharroh Gordon
Matthew Cooper,St Helens Saints Senior Men,6/7/9,Matthew Cooper
Oliver Irvine,St Helens Saints Senior Men,10/4/9,Oliver Irvine
E. Thomas,London Elite Senior Men I,6,E Thomas
Miles Felletti-O'donnell,Teesside Lions Senior Men,48,Miles Felletti-O'donnell
Cawm Martin,Leicester Warriors Senior Men,13,Cawm Martin
Nathaniel Byfield,Myerscough Basketball Academy Senior Men I,4/6,Nathaniel Byfield
