# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 423
# Qualified players exported: 297
# Total stints used: 12800
# Garbage time stints excluded: 459
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
BG Hessing Leitershofen,2,Tristan Göbel,272,-0.84,-2.34,-3.18
Ahorn Camp Baskets,18,Leon Geißler,652,0.78,-4.07,-3.29
TV Langen,6,Luca Justus Eibelshäuser,307,-2.31,-0.99,-3.3
TV Langen,11,Risto Vasiljevic,487,-0.19,-3.16,-3.35
CATL Basketball Löwen,13,Friedrich Radefeld,450,-0.66,-2.74,-3.4
Iserlohn Kangaroos,6,Daniel Zacek,931,-1.63,-1.84,-3.47
Porsche BBA Ludwigsburg,7,Marko Masic,1088,-2.22,-1.26,-3.48
SC Rist Wedel,44,Darren Egbe,818,-2.3,-1.19,-3.49
EN BASKETS Schwelm,4,Fabian Reichstadt,1316,-1.29,-2.22,-3.51
Dragons Rhöndorf,12,David Böning,589,-2.31,-1.2,-3.51
TSV Neustadt temps Shooters,37,Samuel Mpacko,340,-2.85,-0.66,-3.52
FC Bayern Basketball II,32,Nicolas Neruda Kodjoe,997,-1.72,-1.8,-3.52
Porsche BBA Ludwigsburg,2,Lars Danziger,982,-2.4,-1.13,-3.53
TSV Oberhaching Tropics,7,Nedzad Muratovic,1148,-0.47,-3.09,-3.56
Dresden Titans,13,Kevin Kollmar,1209,-1.09,-2.5,-3.59
Seawolves Academy,9,Mika Freitag,707,-2.72,-0.9,-3.62
VR-Bank Würzburg Baskets Akademie,17,Clemens Sokolov,845,-3.67,0.04,-3.63
TSV Oberhaching Tropics,3,Jonathan Zeisberger,1448,-1.15,-2.49,-3.64
Ahorn Camp Baskets,44,Felix Angerbauer,1005,-1.73,-1.93,-3.66
Ahorn Camp Baskets,1,Noah Koch,296,-1.56,-2.14,-3.7
VR-Bank Würzburg Baskets Akademie,9,Lukas Roth,910,0.15,-3.85,-3.7
TSV Neustadt temps Shooters,3,Emil Loch,1368,-1.19,-2.61,-3.8
Iserlohn Kangaroos,4,Jordan Iloanya,562,-1.78,-2.12,-3.9
SV Fellbach Flashers,6,Travis Davis,490,-3.76,-0.23,-3.99
CATL Basketball Löwen,14,Jeremie Fotso-Sighom,509,-4.26,0.24,-4.02
RASTA Vechta II,8,Moritz Grüß,1217,-1.12,-2.97,-4.08
TSV Neustadt temps Shooters,17,Christenvie Kwilu,1398,-2.65,-1.45,-4.11
SV Fellbach Flashers,10,Brian Butler,407,-3.75,-0.4,-4.15
Dragons Rhöndorf,11,Mamadou Lagui Diallo,824,-2.59,-1.64,-4.23
SKYLINERS Juniors,21,Maximilian Peters,305,-2.09,-2.14,-4.23
Seawolves Academy,22,Chris Frazier,1039,-1.27,-3.04,-4.3
SC Rist Wedel,6,Janne Müller,629,-0.6,-3.71,-4.31
Dresden Titans,0,Leonardo Alfonso Benitez Arocha,353,-2.26,-2.08,-4.34
BSW Sixers,3,Silver Arun Bieling,724,-2.7,-1.66,-4.36
CATL Basketball Löwen,21,Jasper Brand,647,-3.68,-0.72,-4.39
EN BASKETS Schwelm,14,Arthur Baheraba Noba,783,-1.03,-3.48,-4.51
Seawolves Academy,20,Bruno Loll,1010,-2.08,-2.47,-4.55
SV Fellbach Flashers,22,Thomas Billinger,284,-3.54,-1.04,-4.59
FC Bayern Basketball II,0,Caspar David Vossenberg,734,-4.58,-0.15,-4.73
